date,covid,nineteen,one,people,#covid19,vaccine,get,would,us,year,like,pay,nhs,see,today,first,back,think,last,jab,time,#covid,need,@factcovid,new,good,day,well,still,risk,getting,two,uk,going,#flujabequalscovidjab,government,#asthmaticsatrisk,could,go,got,week,great,work,test,long,blood,due,passports,#covidvaccine,vaccination,deaths,police,rules,school,easter,passport,tests,want,many,know,staff,variant,vigil,lockdown,#covid19vaccine,lost,#dayofreflection,lives,remember,since,johnson,enough,left,together,office,tory,#dateofalqadrnightramadan1442,allah,yemen,ad,mohammad,nasser,three,two thousand and twenty-one,imam,alyemeni,"one thousand, four hundred and forty-two",eighteen,rajab,ah,mahdi,worship
2021-03-01,704.0,112.0,95.0,116.0,111.0,92.0,78.0,59.0,58.0,59.0,50.0,1.0,1.0,1.0,1.0,55.0,1.0,1.0,43.0,46.0,1.0,1.0,1.0,1.0,49.0,1.0,60.0,1.0,44.0,1.0,1.0,1.0,52.0,45.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,43.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-02,797.0,139.0,78.0,125.0,135.0,98.0,81.0,65.0,61.0,46.0,48.0,1.0,1.0,1.0,1.0,46.0,51.0,1.0,48.0,50.0,50.0,1.0,1.0,1.0,1.0,1.0,48.0,1.0,48.0,1.0,49.0,47.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-03,751.0,126.0,82.0,83.0,90.0,110.0,81.0,67.0,45.0,68.0,46.0,1.0,1.0,1.0,60.0,64.0,54.0,1.0,57.0,65.0,49.0,1.0,1.0,1.0,1.0,1.0,60.0,1.0,1.0,1.0,1.0,61.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-04,720.0,125.0,80.0,94.0,118.0,72.0,77.0,56.0,46.0,1.0,70.0,1.0,1.0,1.0,52.0,1.0,49.0,1.0,1.0,61.0,51.0,1.0,1.0,1.0,1.0,1.0,63.0,1.0,1.0,1.0,1.0,46.0,45.0,1.0,1.0,1.0,1.0,1.0,1.0,55.0,1.0,1.0,44.0,1.0,1.0,1.0,1.0,1.0,1.0,47.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-05,1016.0,178.0,155.0,119.0,132.0,126.0,96.0,103.0,75.0,79.0,68.0,88.0,97.0,1.0,73.0,68.0,68.0,1.0,68.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,74.0,1.0,1.0,76.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,67.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-06,856.0,138.0,126.0,123.0,114.0,106.0,99.0,89.0,85.0,75.0,67.0,67.0,63.0,61.0,59.0,57.0,54.0,52.0,52.0,51.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-07,812.0,126.0,90.0,105.0,114.0,86.0,97.0,78.0,67.0,96.0,75.0,1.0,1.0,1.0,61.0,56.0,61.0,51.0,81.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,57.0,1.0,52.0,1.0,1.0,54.0,1.0,1.0,1.0,1.0,1.0,52.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-08,742.0,112.0,84.0,85.0,90.0,59.0,61.0,61.0,55.0,51.0,1.0,1.0,1.0,1.0,85.0,49.0,73.0,1.0,1.0,1.0,49.0,1.0,1.0,1.0,1.0,1.0,54.0,1.0,49.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47.0,1.0,1.0,1.0,55.0,56.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-09,689.0,101.0,71.0,84.0,89.0,77.0,81.0,62.0,64.0,57.0,65.0,1.0,1.0,1.0,58.0,1.0,58.0,1.0,1.0,1.0,1.0,47.0,1.0,1.0,1.0,1.0,48.0,1.0,1.0,1.0,1.0,1.0,1.0,43.0,73.0,52.0,50.0,48.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-10,704.0,136.0,67.0,84.0,116.0,99.0,82.0,57.0,1.0,72.0,1.0,1.0,40.0,1.0,51.0,44.0,41.0,1.0,1.0,54.0,47.0,1.0,1.0,1.0,1.0,43.0,48.0,1.0,42.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,58.0,57.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
