,token,count,date
0,march,526,2021-03-29
1,police,347,2021-03-29
2,twenty-nine,217,2021-03-29
3,two thousand and twenty-one,173,2021-03-29
4,one,158,2021-03-29
5,fight,154,2021-03-29
6,monday,140,2021-03-29
7,people,137,2021-03-29
8,would,104,2021-03-29
9,#unitedkingdom,100,2021-03-29
10,#free,100,2021-03-29
11,bristol,97,2021-03-29
12,get,97,2021-03-29
13,us,97,2021-03-29
14,day,97,2021-03-29
15,like,95,2021-03-29
16,today,94,2021-03-29
17,#foodwaste,93,2021-03-29
18,good,91,2021-03-29
19,back,90,2021-03-29
20,police,532,2021-03-30
21,march,523,2021-03-30
22,thirty,187,2021-03-30
23,two thousand and twenty-one,183,2021-03-30
24,day,155,2021-03-30
25,would,153,2021-03-30
26,tuesday,138,2021-03-30
27,one,137,2021-03-30
28,fight,133,2021-03-30
29,get,126,2021-03-30
30,people,123,2021-03-30
31,today,120,2021-03-30
32,like,117,2021-03-30
33,us,109,2021-03-30
34,back,94,2021-03-30
35,time,93,2021-03-30
36,fighting,93,2021-03-30
37,two,93,2021-03-30
38,bristol,93,2021-03-30
39,#bristol,90,2021-03-30
40,police,3038,2021-03-14
41,women,968,2021-03-14
42,protest,877,2021-03-14
43,vigil,788,2021-03-14
44,@metpoliceuk,750,2021-03-14
45,people,668,2021-03-14
46,one,611,2021-03-14
47,would,595,2021-03-14
48,march,531,2021-03-14
49,last,485,2021-03-14
50,peaceful,464,2021-03-14
51,like,432,2021-03-14
52,right,415,2021-03-14
53,violence,406,2021-03-14
54,get,366,2021-03-14
55,fight,362,2021-03-14
56,met,351,2021-03-14
57,day,331,2021-03-14
58,woman,329,2021-03-14
59,men,323,2021-03-14
60,police,1178,2021-03-15
61,march,586,2021-03-15
62,protest,584,2021-03-15
63,women,417,2021-03-15
64,would,377,2021-03-15
65,people,361,2021-03-15
66,one,349,2021-03-15
67,right,302,2021-03-15
68,peaceful,285,2021-03-15
69,vigil,246,2021-03-15
70,fight,237,2021-03-15
71,like,223,2021-03-15
72,need,206,2021-03-15
73,bill,205,2021-03-15
74,get,190,2021-03-15
75,us,189,2021-03-15
76,day,175,2021-03-15
77,time,173,2021-03-15
78,think,167,2021-03-15
79,protests,162,2021-03-15
80,police,323,2021-04-08
81,violence,222,2021-04-08
82,fight,173,2021-04-08
83,people,168,2021-04-08
84,would,160,2021-04-08
85,one,155,2021-04-08
86,get,132,2021-04-08
87,march,120,2021-04-08
88,like,112,2021-04-08
89,ireland,111,2021-04-08
90,good,106,2021-04-08
91,see,103,2021-04-08
92,back,101,2021-04-08
93,attack,101,2021-04-08
94,us,99,2021-04-08
95,time,99,2021-04-08
96,know,94,2021-04-08
97,going,92,2021-04-08
98,well,88,2021-04-08
99,bristol,85,2021-04-08
100,police,1059,2021-03-27
101,fight,569,2021-03-27
102,march,478,2021-03-27
103,bristol,316,2021-03-27
104,people,313,2021-03-27
105,would,313,2021-03-27
106,one,278,2021-03-27
107,protest,274,2021-03-27
108,like,272,2021-03-27
109,@aspolice,254,2021-03-27
110,get,223,2021-03-27
111,violence,192,2021-03-27
112,see,184,2021-03-27
113,us,184,2021-03-27
114,two thousand and twenty-one,177,2021-03-27
115,good,175,2021-03-27
116,two,166,2021-03-27
117,last,165,2021-03-27
118,today,161,2021-03-27
119,day,154,2021-03-27
120,march,587,2021-03-06
121,fight,237,2021-03-06
122,police,229,2021-03-06
123,one,207,2021-03-06
124,#attackthebok,172,2021-03-06
125,scenes,153,2021-03-06
126,get,150,2021-03-06
127,would,150,2021-03-06
128,today,145,2021-03-06
129,like,126,2021-03-06
130,people,124,2021-03-06
131,day,124,2021-03-06
132,us,123,2021-03-06
133,two thousand and twenty-one,122,2021-03-06
134,attack,119,2021-03-06
135,time,105,2021-03-06
136,back,104,2021-03-06
137,bristol,103,2021-03-06
138,two,102,2021-03-06
139,see,101,2021-03-06
140,police,292,2021-04-07
141,one,166,2021-04-07
142,would,154,2021-04-07
143,people,145,2021-04-07
144,fight,143,2021-04-07
145,like,113,2021-04-07
146,violence,112,2021-04-07
147,get,112,2021-04-07
148,attack,99,2021-04-07
149,bristol,91,2021-04-07
150,fighting,89,2021-04-07
151,back,87,2021-04-07
152,march,82,2021-04-07
153,us,82,2021-04-07
154,going,79,2021-04-07
155,scene,79,2021-04-07
156,time,76,2021-04-07
157,good,75,2021-04-07
158,know,74,2021-04-07
159,see,74,2021-04-07
160,police,870,2021-03-16
161,march,523,2021-03-16
162,protest,430,2021-03-16
163,would,301,2021-03-16
164,people,270,2021-03-16
165,women,270,2021-03-16
166,fight,235,2021-03-16
167,right,230,2021-03-16
168,one,225,2021-03-16
169,government,214,2021-03-16
170,like,203,2021-03-16
171,get,200,2021-03-16
172,us,196,2021-03-16
173,bill,188,2021-03-16
174,new,187,2021-03-16
175,time,161,2021-03-16
176,rights,160,2021-03-16
177,#policingbill,158,2021-03-16
178,#righttoprotest,156,2021-03-16
179,need,151,2021-03-16
180,police,499,2021-03-28
181,march,464,2021-03-28
182,fight,319,2021-03-28
183,one,211,2021-03-28
184,would,208,2021-03-28
185,like,188,2021-03-28
186,people,187,2021-03-28
187,sunday,175,2021-03-28
188,twenty-eight,171,2021-03-28
189,two thousand and twenty-one,167,2021-03-28
190,get,154,2021-03-28
191,bristol,137,2021-03-28
192,us,133,2021-03-28
193,protest,131,2021-03-28
194,two,129,2021-03-28
195,good,125,2021-03-28
196,attack,119,2021-03-28
197,day,115,2021-03-28
198,back,113,2021-03-28
199,think,109,2021-03-28
200,march,527,2021-03-09
201,police,231,2021-03-09
202,one,179,2021-03-09
203,fight,175,2021-03-09
204,like,133,2021-03-09
205,people,130,2021-03-09
206,us,129,2021-03-09
207,would,129,2021-03-09
208,two thousand and twenty-one,120,2021-03-09
209,day,115,2021-03-09
210,attack,113,2021-03-09
211,back,111,2021-03-09
212,get,109,2021-03-09
213,today,101,2021-03-09
214,two,92,2021-03-09
215,fighting,88,2021-03-09
216,scenes,88,2021-03-09
217,scene,87,2021-03-09
218,new,86,2021-03-09
219,#unitedkingdom,84,2021-03-09
220,march,1055,2021-03-31
221,two thousand and twenty-one,683,2021-03-31
222,planning,629,2021-03-31
223,new,575,2021-03-31
224,thirty,568,2021-03-31
225,application,542,2021-03-31
226,registered,508,2021-03-31
227,london,489,2021-03-31
228,police,428,2021-03-31
229,nw1,279,2021-03-31
230,road,256,2021-03-31
231,one,242,2021-03-31
232,people,229,2021-03-31
233,day,205,2021-03-31
234,consent,188,2021-03-31
235,fight,183,2021-03-31
236,would,172,2021-03-31
237,building,163,2021-03-31
238,listed,162,2021-03-31
239,thirty-one,162,2021-03-31
240,police,333,2021-04-02
241,fight,201,2021-04-02
242,march,177,2021-04-02
243,would,155,2021-04-02
244,one,150,2021-04-02
245,people,129,2021-04-02
246,like,121,2021-04-02
247,good,114,2021-04-02
248,get,106,2021-04-02
249,bristol,100,2021-04-02
250,two,100,2021-04-02
251,time,93,2021-04-02
252,see,92,2021-04-02
253,scene,91,2021-04-02
254,back,90,2021-04-02
255,fighting,90,2021-04-02
256,last,89,2021-04-02
257,us,85,2021-04-02
258,#unitedkingdom,85,2021-04-02
259,#free,85,2021-04-02
260,police,390,2021-04-01
261,march,309,2021-04-01
262,fight,179,2021-04-01
263,one,160,2021-04-01
264,people,146,2021-04-01
265,would,128,2021-04-01
266,like,112,2021-04-01
267,get,93,2021-04-01
268,good,87,2021-04-01
269,#unitedkingdom,86,2021-04-01
270,#free,85,2021-04-01
271,fighting,85,2021-04-01
272,two,84,2021-04-01
273,still,79,2021-04-01
274,officer,79,2021-04-01
275,back,79,2021-04-01
276,us,79,2021-04-01
277,two thousand and twenty-one,77,2021-04-01
278,#foodwaste,77,2021-04-01
279,day,75,2021-04-01
280,march,538,2021-03-17
281,police,444,2021-03-17
282,protest,304,2021-03-17
283,fight,207,2021-03-17
284,one,203,2021-03-17
285,would,186,2021-03-17
286,people,176,2021-03-17
287,get,157,2021-03-17
