,token,count,date
0,bristol,316,2021-03-27
1,police,140,2021-03-27
2,#bristol,109,2021-03-27
3,#unitedkingdom,70,2021-03-27
4,#free,70,2021-03-27
5,yes,60,2021-03-27
6,#foodwaste,60,2021-03-27
7,last,49,2021-03-27
8,#bristolprotests,46,2021-03-27
9,@bristolbears,42,2021-03-27
10,people,40,2021-03-27
11,protest,35,2021-03-27
12,#bristolprotest,34,2021-03-27
13,violence,34,2021-03-27
14,#killthebill,32,2021-03-27
15,like,32,2021-03-27
16,one,31,2021-03-27
17,@aspolice,31,2021-03-27
18,protests,31,2021-03-27
19,would,30,2021-03-27
20,bristol,103,2021-03-06
21,#bristol,80,2021-03-06
22,#unitedkingdom,64,2021-03-06
23,#free,63,2021-03-06
24,#foodwaste,51,2021-03-06
25,united,27,2021-03-06
26,kingdom,27,2021-03-06
27,city,24,2021-03-06
28,@bristolcity,23,2021-03-06
29,@bristolbears,21,2021-03-06
30,today,19,2021-03-06
31,posted,18,2021-03-06
32,photo,18,2021-03-06
33,get,14,2021-03-06
34,one,14,2021-03-06
35,well,13,2021-03-06
36,back,13,2021-03-06
37,great,13,2021-03-06
38,x,12,2021-03-06
39,really,12,2021-03-06
40,bristol,140,2021-03-24
41,#bristol,82,2021-03-24
42,#unitedkingdom,58,2021-03-24
43,#free,58,2021-03-24
44,#foodwaste,48,2021-03-24
45,united,35,2021-03-24
46,kingdom,34,2021-03-24
47,posted,31,2021-03-24
48,photo,27,2021-03-24
49,police,26,2021-03-24
50,would,18,2021-03-24
51,city,18,2021-03-24
52,@bristol247,15,2021-03-24
53,people,15,2021-03-24
54,protest,14,2021-03-24
55,last,12,2021-03-24
56,see,11,2021-03-24
57,night,11,2021-03-24
58,#killthebill,11,2021-03-24
59,great,11,2021-03-24
60,#bristol,65,2021-03-09
61,bristol,61,2021-03-09
62,#unitedkingdom,54,2021-03-09
63,#free,54,2021-03-09
64,#foodwaste,46,2021-03-09
65,photo,17,2021-03-09
66,posted,16,2021-03-09
67,united,16,2021-03-09
68,kingdom,16,2021-03-09
69,great,15,2021-03-09
70,back,12,2021-03-09
71,last,11,2021-03-09
72,like,11,2021-03-09
73,game,11,2021-03-09
74,@bristolvor,10,2021-03-09
75,night,9,2021-03-09
76,well,9,2021-03-09
77,would,9,2021-03-09
78,@bristolcity,8,2021-03-09
79,#zerowaste,8,2021-03-09
80,bristol,85,2021-04-08
81,#bristol,60,2021-04-08
82,#unitedkingdom,54,2021-04-08
83,#free,53,2021-04-08
84,#foodwaste,42,2021-04-08
85,photo,18,2021-04-08
86,united,17,2021-04-08
87,kingdom,17,2021-04-08
88,posted,16,2021-04-08
89,@bristolvor,13,2021-04-08
90,one,13,2021-04-08
91,#zerowaste,11,2021-04-08
92,two,10,2021-04-08
93,well,9,2021-04-08
94,think,8,2021-04-08
95,time,8,2021-04-08
96,@egglestonmathew,8,2021-04-08
97,@ccshoreditch,8,2021-04-08
98,city,8,2021-04-08
99,today,7,2021-04-08
100,bristol,137,2021-03-28
101,#bristol,58,2021-03-28
102,police,41,2021-03-28
103,#unitedkingdom,39,2021-03-28
104,#free,39,2021-03-28
105,#foodwaste,33,2021-03-28
106,united,32,2021-03-28
107,kingdom,32,2021-03-28
108,posted,22,2021-03-28
109,photo,20,2021-03-28
110,city,17,2021-03-28
111,one,14,2021-03-28
112,would,14,2021-03-28
113,@bristolbears,12,2021-03-28
114,game,11,2021-03-28
115,think,10,2021-03-28
116,protests,10,2021-03-28
117,like,10,2021-03-28
118,man,10,2021-03-28
119,see,9,2021-03-28
120,bristol,93,2021-03-25
121,#bristol,90,2021-03-25
122,#unitedkingdom,71,2021-03-25
123,#free,71,2021-03-25
124,#foodwaste,63,2021-03-25
125,united,26,2021-03-25
126,kingdom,26,2021-03-25
127,posted,21,2021-03-25
128,photo,20,2021-03-25
129,police,18,2021-03-25
130,one,12,2021-03-25
131,time,12,2021-03-25
132,@northbristolnhs,11,2021-03-25
133,white,11,2021-03-25
134,would,9,2021-03-25
135,years,9,2021-03-25
136,really,8,2021-03-25
137,good,8,2021-03-25
138,thank,8,2021-03-25
139,lovely,8,2021-03-25
140,bristol,91,2021-04-07
141,#bristol,64,2021-04-07
142,#unitedkingdom,55,2021-04-07
143,#free,54,2021-04-07
144,#foodwaste,43,2021-04-07
145,united,24,2021-04-07
146,kingdom,24,2021-04-07
147,photo,22,2021-04-07
148,one,20,2021-04-07
149,posted,19,2021-04-07
150,would,14,2021-04-07
151,#zerowaste,11,2021-04-07
152,back,10,2021-04-07
153,@bristolvor,10,2021-04-07
154,got,9,2021-04-07
155,people,9,2021-04-07
156,well,9,2021-04-07
157,thank,9,2021-04-07
158,@sharonhallam7,9,2021-04-07
159,get,8,2021-04-07
160,bristol,97,2021-03-29
161,#bristol,73,2021-03-29
162,#unitedkingdom,65,2021-03-29
163,#free,65,2021-03-29
164,#foodwaste,59,2021-03-29
165,posted,23,2021-03-29
166,united,23,2021-03-29
167,kingdom,23,2021-03-29
168,photo,20,2021-03-29
169,police,17,2021-03-29
170,one,13,2021-03-29
171,@bristolbears,13,2021-03-29
172,well,8,2021-03-29
173,great,8,2021-03-29
174,stand,7,2021-03-29
175,two,7,2021-03-29
176,see,7,2021-03-29
177,tesco,6,2021-03-29
178,#zerowaste,6,2021-03-29
179,community,6,2021-03-29
180,bristol,87,2021-03-10
181,#bristol,79,2021-03-10
182,#unitedkingdom,72,2021-03-10
183,#free,71,2021-03-10
184,#foodwaste,65,2021-03-10
185,united,30,2021-03-10
186,kingdom,30,2021-03-10
187,posted,22,2021-03-10
188,photo,22,2021-03-10
189,one,11,2021-03-10
190,really,8,2021-03-10
191,@northbristolnhs,8,2021-03-10
192,today,7,2021-03-10
193,new,7,2021-03-10
194,great,7,2021-03-10
195,thanks,7,2021-03-10
196,x,7,2021-03-10
197,two,6,2021-03-10
198,#zerowaste,6,2021-03-10
199,mixed,5,2021-03-10
200,bristol,93,2021-03-30
201,#bristol,90,2021-03-30
202,#unitedkingdom,60,2021-03-30
203,#free,60,2021-03-30
204,#foodwaste,51,2021-03-30
205,#killthebill,34,2021-03-30
206,photo,27,2021-03-30
207,protestors,27,2021-03-30
208,posted,26,2021-03-30
209,police,26,2021-03-30
210,#bristolprotest,25,2021-03-30
211,united,23,2021-03-30
