,token,count,date
0,police,20,2021-03-29
1,bristol,18,2021-03-29
2,#killthebill,15,2021-03-29
3,stand,6,2021-03-29
4,protest,5,2021-03-29
5,let,5,2021-03-29
6,protests,5,2021-03-29
7,bill,4,2021-03-29
8,us,4,2021-03-29
9,#bristolprotests,4,2021-03-29
10,democracy,3,2021-03-29
11,one,3,2021-03-29
12,state,3,2021-03-29
13,like,3,2021-03-29
14,see,3,2021-03-29
15,violence,3,2021-03-29
16,people,3,2021-03-29
17,know,3,2021-03-29
18,brutality,3,2021-03-29
19,election,3,2021-03-29
20,#killthebill,43,2021-03-30
21,police,34,2021-03-30
22,protestors,28,2021-03-30
23,#bristolprotest,25,2021-03-30
24,#bristol,18,2021-03-30
25,bristol,17,2021-03-30
26,protest,14,2021-03-30
27,#bristolprotests,12,2021-03-30
28,@thebristolcable,11,2021-03-30
29,marching,9,2021-03-30
30,college,8,2021-03-30
31,green,8,2021-03-30
32,bridewell,8,2021-03-30
33,station,8,2021-03-30
34,outside,7,2021-03-30
35,protests,6,2021-03-30
36,bill,6,2021-03-30
37,centre,5,2021-03-30
38,city,5,2021-03-30
39,prof,5,2021-03-30
40,police,63,2021-03-14
41,bill,53,2021-03-14
42,crime,47,2021-03-14
43,sentencing,47,2021-03-14
44,courts,39,2021-03-14
45,protest,21,2021-03-14
46,right,15,2021-03-14
47,#policestate,10,2021-03-14
48,stop,9,2021-03-14
49,two thousand and twenty-one,9,2021-03-14
50,sign,9,2021-03-14
51,women,8,2021-03-14
52,mp,8,2021-03-14
53,powers,8,2021-03-14
54,petition,8,2021-03-14
55,home,8,2021-03-14
56,voting,7,2021-03-14
57,growing,7,2021-03-14
58,via,7,2021-03-14
59,@ukchange,7,2021-03-14
60,#killthebill,10,2021-03-31
61,police,8,2021-03-31
62,protest,4,2021-03-31
63,protests,4,2021-03-31
64,bristol,4,2021-03-31
65,rights,3,2021-03-31
66,says,2,2021-03-31
67,move,2,2021-03-31
68,scum,2,2021-03-31
69,peaceful,2,2021-03-31
70,also,2,2021-03-31
71,always,2,2021-03-31
72,weekend,2,2021-03-31
73,show,2,2021-03-31
74,video,2,2021-03-31
75,proud,1,2021-03-31
76,incredible,1,2021-03-31
77,work,1,2021-03-31
78,@nlsistersuncut,1,2021-03-31
79,@sistersuncut,1,2021-03-31
80,#killthebill,23,2021-04-02
81,police,8,2021-04-02
82,protest,7,2021-04-02
83,tomorrow,6,2021-04-02
84,bristol,6,2021-04-02
85,right,4,2021-04-02
86,bill,4,2021-04-02
87,london,4,2021-04-02
88,saturday,3,2021-04-02
89,#london,3,2021-04-02
90,us,3,2021-04-02
91,see,3,2021-04-02
92,charged,3,2021-04-02
93,bank,3,2021-04-02
94,safe,2,2021-04-02
95,manchester,2,2021-04-02
96,kill,2,2021-04-02
97,speak,2,2021-04-02
98,lovely,2,2021-04-02
99,#finsburypark,2,2021-04-02
100,police,48,2021-03-28
101,bristol,35,2021-03-28
102,#killthebill,31,2021-03-28
103,protest,18,2021-03-28
104,protests,11,2021-03-28
105,violence,11,2021-03-28
106,protesters,9,2021-03-28
107,#bristol,8,2021-03-28
108,@aspolice,8,2021-03-28
109,#bristolprotests,8,2021-03-28
110,bill,7,2021-03-28
111,right,7,2021-03-28
112,would,6,2021-03-28
113,make,6,2021-03-28
114,peaceful,5,2021-03-28
115,government,5,2021-03-28
116,get,5,2021-03-28
117,keep,5,2021-03-28
118,#protest,5,2021-03-28
119,see,5,2021-03-28
120,#killthebill,11,2021-04-01
121,police,4,2021-04-01
122,one,3,2021-04-01
123,laws,3,2021-04-01
124,protesters,3,2021-04-01
125,right,2,2021-04-01
126,protest,2,2021-04-01
127,state,2,2021-04-01
128,emergency,2,2021-04-01
129,attacks,2,2021-04-01
130,#uk,2,2021-04-01
131,@valerie4london,2,2021-04-01
132,peaceful,2,2021-04-01
133,#blm,2,2021-04-01
134,#v4l,2,2021-04-01
135,@xrlondon,2,2021-04-01
136,@xrebellionuk,2,2021-04-01
137,two thousand and twenty-one,2,2021-04-01
138,streets,2,2021-04-01
139,injured,2,2021-04-01
140,#killthebill,188,2021-04-03
141,police,69,2021-04-03
142,protest,59,2021-04-03
143,protestors,44,2021-04-03
144,today,34,2021-04-03
145,bill,34,2021-04-03
146,#bristolprotest,31,2021-04-03
147,#bristol,24,2021-04-03
148,bristol,22,2021-04-03
149,around,18,2021-04-03
150,#london,16,2021-04-03
151,marching,16,2021-04-03
152,right,15,2021-04-03
153,march,15,2021-04-03
154,crime,13,2021-04-03
155,protests,13,2021-04-03
156,kill,12,2021-04-03
157,london,12,2021-04-03
158,station,12,2021-04-03
159,back,12,2021-04-03
160,bill,102,2021-03-17
161,police,56,2021-03-17
162,protest,47,2021-03-17
163,right,33,2021-03-17
164,crime,26,2021-03-17
165,#policebill,22,2021-03-17
166,sentencing,21,2021-03-17
167,protests,20,2021-03-17
168,#killthebill,17,2021-03-17
169,courts,17,2021-03-17
170,democracy,14,2021-03-17
171,women,14,2021-03-17
172,new,11,2021-03-17
173,policing,11,2021-03-17
174,freedom,11,2021-03-17
175,know,11,2021-03-17
176,rights,11,2021-03-17
177,people,10,2021-03-17
178,government,10,2021-03-17
179,would,10,2021-03-17
180,#killthebill,56,2021-04-04
181,protest,21,2021-04-04
182,police,18,2021-04-04
183,yesterday,13,2021-04-04
184,london,10,2021-04-04
185,bill,9,2021-04-04
186,protests,9,2021-04-04
187,people,8,2021-04-04
188,@jeremycorbyn,7,2021-04-04
189,rights,6,2021-04-04
190,#protest,6,2021-04-04
191,us,5,2021-04-04
192,crime,5,2021-04-04
193,#london,5,2021-04-04
194,@metpoliceuk,5,2021-04-04
195,#bristolprotest,5,2021-04-04
196,get,4,2021-04-04
197,today,4,2021-04-04
198,demo,4,2021-04-04
199,violence,4,2021-04-04
200,#killthebill,13,2021-04-05
201,police,6,2021-04-05
202,bill,5,2021-04-05
203,people,4,2021-04-05
204,kill,4,2021-04-05
205,protest,3,2021-04-05
206,one,3,2021-04-05
207,right,3,2021-04-05
208,bristol,3,2021-04-05
209,crime,3,2021-04-05
210,sentencing,3,2021-04-05
211,protests,2,2021-04-05
212,@king4adayuk,2,2021-04-05
213,tory,2,2021-04-05
214,party,2,2021-04-05
215,state,2,2021-04-05
216,must,2,2021-04-05
217,opposition,2,2021-04-05
218,demos,2,2021-04-05
219,protect,2,2021-04-05
220,#killthebill,8,2021-04-06
221,protest,2,2021-04-06
222,people,2,2021-04-06
223,#tories,2,2021-04-06
224,good,2,2021-04-06
225,pics,1,2021-04-06
226,3rd,1,2021-04-06
227,april,1,2021-04-06
228,beautiful,1,2021-04-06
229,share,1,2021-04-06
230,streets,1,2021-04-06
231,many,1,2021-04-06
232,churchill,1,2021-04-06
233,always,1,2021-04-06
234,back,1,2021-04-06
235,turned,1,2021-04-06
236,protesters,1,2021-04-06
237,parliament,1,2021-04-06
238,sq,1,2021-04-06
239,apt,1,2021-04-06
240,#killthebill,7,2021-04-08
241,tory,3,2021-04-08
242,protest,3,2021-04-08
243,tories,3,2021-04-08
244,rights,3,2021-04-08
245,police,3,2021-04-08
246,one,2,2021-04-08
247,streets,2,2021-04-08
248,@traceycrosbie,2,2021-04-08
249,@peoplepower2024,2,2021-04-08
250,@akib36741421,2,2021-04-08
251,@stephpeacock,2,2021-04-08
252,@jontrickett,2,2021-04-08
