,token,count,date
0,covid,856,2021-03-06
1,nineteen,138,2021-03-06
2,one,126,2021-03-06
3,people,123,2021-03-06
4,#covid19,114,2021-03-06
5,vaccine,106,2021-03-06
6,get,99,2021-03-06
7,would,89,2021-03-06
8,us,85,2021-03-06
9,year,75,2021-03-06
10,like,67,2021-03-06
11,pay,67,2021-03-06
12,nhs,63,2021-03-06
13,see,61,2021-03-06
14,today,59,2021-03-06
15,first,57,2021-03-06
16,back,54,2021-03-06
17,think,52,2021-03-06
18,last,52,2021-03-06
19,jab,51,2021-03-06
20,covid,601,2021-03-27
21,nineteen,95,2021-03-27
22,#covid19,90,2021-03-27
23,would,85,2021-03-27
24,one,80,2021-03-27
25,people,78,2021-03-27
26,get,75,2021-03-27
27,vaccine,70,2021-03-27
28,jab,63,2021-03-27
29,year,56,2021-03-27
30,like,50,2021-03-27
31,us,49,2021-03-27
32,time,49,2021-03-27
33,#covid,43,2021-03-27
34,today,42,2021-03-27
35,first,40,2021-03-27
36,need,40,2021-03-27
37,last,39,2021-03-27
38,@factcovid,38,2021-03-27
39,new,36,2021-03-27
40,covid,674,2021-04-08
41,#covid19,123,2021-04-08
42,nineteen,121,2021-04-08
43,vaccine,111,2021-04-08
44,people,93,2021-04-08
45,get,76,2021-04-08
46,one,72,2021-04-08
47,would,63,2021-04-08
48,good,49,2021-04-08
49,us,48,2021-04-08
50,day,46,2021-04-08
51,time,45,2021-04-08
52,well,45,2021-04-08
53,still,45,2021-04-08
54,year,45,2021-04-08
55,like,44,2021-04-08
56,risk,44,2021-04-08
57,jab,43,2021-04-08
58,getting,43,2021-04-08
59,think,41,2021-04-08
60,covid,585,2021-03-28
61,#covid19,100,2021-03-28
62,nineteen,88,2021-03-28
63,vaccine,79,2021-03-28
64,people,69,2021-03-28
65,get,64,2021-03-28
66,would,60,2021-03-28
67,time,58,2021-03-28
68,one,54,2021-03-28
69,day,48,2021-03-28
70,new,48,2021-03-28
71,year,47,2021-03-28
72,two,46,2021-03-28
73,like,45,2021-03-28
74,today,45,2021-03-28
75,us,44,2021-03-28
76,back,42,2021-03-28
77,uk,40,2021-03-28
78,going,38,2021-03-28
79,need,37,2021-03-28
80,covid,689,2021-03-09
81,nineteen,101,2021-03-09
82,#covid19,89,2021-03-09
83,people,84,2021-03-09
84,get,81,2021-03-09
85,vaccine,77,2021-03-09
86,#flujabequalscovidjab,73,2021-03-09
87,one,71,2021-03-09
88,like,65,2021-03-09
89,us,64,2021-03-09
90,would,62,2021-03-09
91,today,58,2021-03-09
92,back,58,2021-03-09
93,year,57,2021-03-09
94,government,52,2021-03-09
95,#asthmaticsatrisk,50,2021-03-09
96,could,48,2021-03-09
97,day,48,2021-03-09
98,#covid,47,2021-03-09
99,going,43,2021-03-09
100,covid,840,2021-03-25
101,nineteen,124,2021-03-25
102,vaccine,124,2021-03-25
103,#covid19,122,2021-03-25
104,one,112,2021-03-25
105,people,108,2021-03-25
106,get,107,2021-03-25
107,would,86,2021-03-25
108,like,72,2021-03-25
109,year,67,2021-03-25
110,still,67,2021-03-25
111,today,59,2021-03-25
112,us,58,2021-03-25
113,think,56,2021-03-25
114,jab,54,2021-03-25
115,time,54,2021-03-25
116,first,50,2021-03-25
117,back,49,2021-03-25
118,go,48,2021-03-25
119,see,48,2021-03-25
120,covid,754,2021-03-12
121,#covid19,143,2021-03-12
122,nineteen,128,2021-03-12
123,people,105,2021-03-12
124,vaccine,99,2021-03-12
125,one,92,2021-03-12
126,year,83,2021-03-12
127,get,80,2021-03-12
128,today,77,2021-03-12
129,day,75,2021-03-12
130,would,67,2021-03-12
131,us,66,2021-03-12
132,first,59,2021-03-12
133,jab,55,2021-03-12
134,last,55,2021-03-12
135,back,53,2021-03-12
136,got,51,2021-03-12
137,well,51,2021-03-12
138,week,51,2021-03-12
139,like,49,2021-03-12
140,covid,614,2021-03-29
141,#covid19,114,2021-03-29
142,nineteen,111,2021-03-29
143,vaccine,93,2021-03-29
144,one,84,2021-03-29
145,people,70,2021-03-29
146,today,62,2021-03-29
147,get,59,2021-03-29
148,back,58,2021-03-29
149,would,56,2021-03-29
150,first,53,2021-03-29
151,like,52,2021-03-29
152,got,48,2021-03-29
153,year,45,2021-03-29
154,time,45,2021-03-29
155,two,44,2021-03-29
156,well,42,2021-03-29
157,day,41,2021-03-29
158,great,39,2021-03-29
159,uk,39,2021-03-29
160,covid,704,2021-03-10
161,nineteen,136,2021-03-10
162,#covid19,116,2021-03-10
163,vaccine,99,2021-03-10
164,people,84,2021-03-10
165,get,82,2021-03-10
166,year,72,2021-03-10
167,one,67,2021-03-10
168,work,58,2021-03-10
169,test,57,2021-03-10
170,would,57,2021-03-10
171,jab,54,2021-03-10
172,today,51,2021-03-10
173,day,48,2021-03-10
174,time,47,2021-03-10
175,first,44,2021-03-10
176,good,43,2021-03-10
177,still,42,2021-03-10
178,back,41,2021-03-10
179,nhs,40,2021-03-10
180,covid,817,2021-03-16
